Name,Description,Section,Assignee,Start Date,Due Date,Type,Parent Task,Priority,Phase,Blocked By
Apply schema.sql to the live Supabase project,"BLOCKER for everything else. The permission objects (app_permission, app_role_permission, app_user_has_permission) are in schema.sql but have never been applied to live — verified: both tables and the RPC return 404. Until this runs, /admin/roles silently redirects every user home including exec, and /portal shows an empty state. schema.sql is idempotent; 'policy already exists' errors are safe to skip.",Phase 0 — Foundations,,8/24/2026,8/25/2026,,,High,0,
"Decide: one Supabase project with schemas, or separate projects","Gates all module DDL. Recommendation is ONE project with a schema per module. Separate projects put each module in its own Postgres instance, so Hub cannot JOIN hours against budget against leave — which is its entire purpose — and auth.users is per-project, so one sign-in becomes four logins. See PLATFORM-ARCHITECTURE.md §2.",Phase 0 — Foundations,,8/25/2026,8/26/2026,Milestone,,High,0,
Introduce the platform schema,Create the platform schema and move people/roles/permissions into it. Leave compatibility views behind at the old names so nothing breaks mid-move. platform.person becomes the single definition of a human — no module may define its own.,Phase 0 — Foundations,,8/26/2026,9/1/2026,,,High,0,
Add Google and Microsoft OAuth with a domain allow-list,"Microsoft covers the Asana seats, Google covers TrackingTime. Supabase auto-links identities that share a VERIFIED email into one auth.users row, which is what makes both land on one account. CAVEAT: SAML SSO accounts are excluded from linking entirely, so choosing Entra SAML over Azure OAuth breaks this. Unknown domains must land in pending-provisioning, never auto-approve.",Phase 0 — Foundations,,9/1/2026,9/7/2026,,,High,0,
Bridge portal shell with permission-driven tiles,Already built at /portal (commit fd8f5d1). Remaining work is polish and the empty/pending states. Tiles come from app_user_modules() — granting a permission is the only step needed to reveal a module. Never hard-code a tile list.,Phase 0 — Foundations,,9/7/2026,9/10/2026,,,Medium,0,
"GATE: one colleague, two providers, one account","Exit test for Phase 0. Sign in with Microsoft, sign out, sign in with Google, and prove it is ONE auth.users row with two identities — not two accounts. This gate must be able to fail: verify by querying auth.identities, not by the app looking right.",Phase 0 — Foundations,,9/10/2026,9/11/2026,Milestone,,High,0,
Obtain API credentials for all three vendors,"ASANA_ACCESS_TOKEN (personal access token), TRACKINGTIME_AUTH (base64 of email:APP_PASSWORD — the app password, NOT the login password), FACTORIAL_API_KEY (admin-created under Configuration > API). Give each integration its OWN token: Asana's rate limits are per-token.",Phase 1 — Discovery,,9/11/2026,9/15/2026,,,High,1,
Run the discovery harness against Asana,npm run discover asana. Produces a field inventory in docs/asana/ (gitignored — raw JSON is unredacted).,Phase 1 — Discovery,,9/15/2026,9/16/2026,,Obtain API credentials for all three vendors,High,1,
Run the discovery harness against TrackingTime,npm run discover trackingtime. Confirm whether project budgets and Google Calendar events are reachable — both are open questions.,Phase 1 — Discovery,,9/16/2026,9/17/2026,,Obtain API credentials for all three vendors,High,1,
Run the discovery harness against Factorial,npm run discover factorial. Pay attention to units: this repo already stores Factorial in MINUTES and TrackingTime in SECONDS.,Phase 1 — Discovery,,9/17/2026,9/18/2026,,Obtain API credentials for all three vendors,High,1,
